2024.06.24 18:22:05 INFO  web[][DbMigrations] #1274 'Drop tree columns of table SNAPSHOTS': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1275 'Drop index measures_sid_metric'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1275 'Drop index measures_sid_metric': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1276 'Drop column PROJECT_MEASURES.SNAPSHOT_ID'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1276 'Drop column PROJECT_MEASURES.SNAPSHOT_ID': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1277 'Add columns PROJECTS.B_*'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1277 'Add columns PROJECTS.B_*': success | time=3ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1300 'Delete project dashboards and widgets'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 delete widget properties of project dashboards processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 delete project dashboards processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1300 'Delete project dashboards and widgets': success | time=8ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1301 'Drop column DASHBOARDS.IS_GLOBAL'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1301 'Drop column DASHBOARDS.IS_GLOBAL': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1302 'Create table CE_TASK_INPUT'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1302 'Create table CE_TASK_INPUT': success | time=3ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1303 'Clear CE_QUEUE content'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1303 'Clear CE_QUEUE content': success | time=3ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1304 'Shrink column PROJECTS.MODULE_UUID_PATH'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1304 'Shrink column PROJECTS.MODULE_UUID_PATH': success | time=9ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1307 'Add columns CE_ACTIVITY.ERROR_*'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1307 'Add columns CE_ACTIVITY.ERROR_*': success | time=3ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1309 'Create table CE_SCANNER_CONTEXT'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1309 'Create table CE_SCANNER_CONTEXT': success | time=4ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1310 'Create table INTERNAL_PROPERTIES'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1310 'Create table INTERNAL_PROPERTIES': success | time=5ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1311 'Move views config from PROPERTIES to INTERNAL_PROPERTIES'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1311 'Move views config from PROPERTIES to INTERNAL_PROPERTIES': success | time=9ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1312 'Create table PROPERTIES2'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1312 'Create table PROPERTIES2': success | time=5ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1313 'Populate table PROPERTIES2'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 copy data from table properties into table properties2 processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1313 'Populate table PROPERTIES2': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1314 'Drop table PROPERTIES'...
